id,height,latitude,longitude,name,Bundesland
3660,485,50.3602,6.8697,N¸rburg-Barweiler,Rheinland-Pfalz
3667,369,49.4258,11.2539,N¸rnberg-Netzstall,Bayern
3668,314,49.503,11.0549,N¸rnberg,Bayern
3679,518,47.6187,12.1665,Kiefersfelden-Gach,Bayern
3730,806,47.3984,10.2759,Oberstdorf,Bayern
3734,230,49.128,9.3525,Obersulm-Willsbach,Baden-W¸rttemberg
3735,455,48.2635,12.276,Obertaufkirchen,Bayern
3739,596,49.4521,12.4365,Oberviechtach,Bayern
3761,276,49.207,9.5176,÷hringen,Baden-W¸rttemberg
3775,100,50.1029,8.7468,Offenbach/Main,(Zentrallabor)
3791,11,53.1763,8.1824,Oldenburg,Niedersachsen
3811,150,51.296,13.0928,Oschatz,Sachsen
3815,95,52.2553,8.0534,Osnabr¸ck,Niedersachsen
3821,246,51.0873,11.9293,Osterfeld,Sachsen-Anhalt
3836,314,50.4538,10.2211,Ostheim,v.d.
3857,886,47.6362,10.3892,Oy-Mittelberg-Petersthal,Bayern
3868,1,53.0802,7.3845,Papenburg-Weiﬂenburg,Niedersachsen
3873,4,54.3667,13.0833,Parow,(Flugplatz)
3875,549,49.151,11.6896,Parsberg/Oberpfalz-Eglwang,Bayern
3879,409,48.5779,13.4694,Passau-Oberhaus,Bayern
3897,2,54.0893,10.8773,Pelzerhaken,Schleswig-Holstein
3904,152,49.5354,6.3789,Perl-Nennig,Saarland
3921,396,49.85,7.6,Pferdsfeld,Rheinland-Pfalz
3925,332,48.9329,8.6973,Pforzheim-Ispringen,Baden-W¸rttemberg
3927,630,47.9345,9.2869,Pfullendorf,Baden-W¸rttemberg
3939,385,49.1912,7.5879,Pirmasens,Rheinland-Pfalz
3946,387,50.4818,12.13,Plauen,Sachsen
3975,522,49.4777,11.5357,Pommelsbrunn-Mittelburg,Bayern
3987,81,52.3812,13.0622,Potsdam,Brandenburg
3997,100,51.6667,14.6333,Preschen,(Flugplatz)
4024,40,54.3643,13.4771,Putbus,Mecklenburg-Vorpommern
4026,1,54.5,11.2167,Puttgarden,Schleswig-Holstein
4032,142,51.7953,11.132,Quedlinburg,Sachsen-Anhalt
4036,204,51.3895,11.5412,Querfurt-M¸hle,Lodersleben
4039,11,53.7331,9.8776,Quickborn,Schleswig-Holstein
4063,41,52.4461,8.5906,Rahden-Kleinendorf,Nordrhein-Westfalen
4094,441,47.8062,9.6206,"Weingarten,",Kr.
4104,365,49.0425,12.1019,Regensburg,Bayern
4127,347,50.9906,7.6958,Reichshof-Eckenhagen,Nordrhein-Westfalen
4154,345,51.18,7.2505,Remscheid-Lennep,Nordrhein-Westfalen
4160,478,48.7425,8.924,Renningen-Ihinger,Hof
4169,131,48.6703,7.9939,Rheinau-Memprechtshofen,Baden-W¸rttemberg
4174,40,52.2887,7.3866,Rheine-Bentlage,Nordrhein-Westfalen
4175,283,47.559,7.7721,Rheinfelden,Baden-W¸rttemberg
4177,116,48.9726,8.3301,Rheinstetten,Baden-W¸rttemberg
4189,534,48.1479,9.4596,"Altheim,",Kreis
4190,526,48.1667,9.5,Riedlingen,(A)
4261,442,47.8753,12.128,Rosenheim,Bayern
4271,4,54.1803,12.0808,Rostock-Warnem¸nde,Mecklenburg-Vorpommern
4275,32,53.1288,9.3398,Rotenburg,(W¸mme)
4280,386,49.2162,11.1035,Roth,Bayern
4281,635,50.9304,8.1924,Rothaargebirge,Nordrhein-Westfalen
4287,415,49.3848,10.1732,Rothenburg,ob
4300,589,48.1815,8.6356,Rottweil,Baden-W¸rttemberg
4301,102,49.8502,7.871,"Kreuznach,",Bad
4323,461,49.6468,7.8837,Ruppertsecken,Rheinland-Pfalz
4336,320,49.2128,7.1077,Saarbr¸cken-Ensheim,Saarland
4349,251,48.9569,9.0711,Sachsenheim,Baden-W¸rttemberg
4354,457,48.7832,13.3146,Saldenburg-Entschenreuth,Bayern
4371,135,52.1042,8.7521,"Salzuflen,",Bad
4377,518,50.3518,10.0034,Sandberg,Bayern
4393,5,54.3279,8.6031,Sankt,Peter-Ording
4411,155,49.9195,8.9671,Schaafheim-Schlierbach,Hessen
4425,569,49.4864,7.029,Schaumberg-Tholey,Saarland
4445,609,51.7658,10.6533,Wernigerode-Schierke,Sachsen-Anhalt
4464,501,50.5679,11.8041,Schleiz,Th¸ringen
4466,43,54.5275,9.5487,Schleswig,Schleswig-Holstein
4480,230,50.3447,9.5533,Schl¸chtern-Herolz,Hessen
4485,296,50.725,10.4539,"Schmalkalden,",Kurort
4501,938,50.6545,10.7696,Schm¸cke,Th¸ringen
4508,649,50.2968,6.4194,Schneifelforsthaus,Rheinland-Pfalz
4548,608,50.1847,12.0791,Schˆnwald/Ofr.-Brunn,Bayern
4559,398,49.1644,12.6175,Schorndorf-Knˆbling,Bayern
4560,265,50.4925,9.1226,Schotten,Hessen
4592,356,49.3278,12.0871,Schwandorf,Bayern
